customer_id,age,gender,item_purchased,category,purchase_amount_(usd),location,size,color,season,review_rating,subscription_status,payment_method,shipping_type,discount_applied,promo_code_used,previous_purchases,preferred_payment_method,frequency_of_purchases,price,date,month,year
1179,37,Male,Dress,Clothing,22,CS Nagar,M,Teal,Spring,4.9,No,Credit Card,Express,Yes,Yes,23,Debit Card,Annually,1826,2023-08-04,8,2023
3803,70,Female,Scarf,Accessories,72,CS Nagar,S,Turquoise,Spring,3.2,No,Bank Transfer,2-Day Shipping,No,No,1,Bank Transfer,Monthly,5976,2021-08-15,8,2021
1985,26,Male,Skirt,Clothing,58,Anna Nagar,M,Black,Summer,3.4,No,Bank Transfer,2-Day Shipping,No,No,26,PayPal,Fortnightly,4814,2023-09-25,9,2023
286,29,Male,Handbag,Accessories,39,KK Nagar,XL,Yellow,Summer,4.8,Yes,Credit Card,Express,Yes,Yes,3,Debit Card,Bi-Weekly,3237,2021-11-26,11,2021
3260,57,Female,Hat,Accessories,95,KK Nagar,XL,Indigo,Fall,3.7,No,PayPal,2-Day Shipping,No,No,5,Debit Card,Every 3 Months,7885,2021-08-31,8,2021
476,21,Male,Sneakers,Footwear,66,Anna Nagar,L,Magenta,Summer,2.7,Yes,Cash,Free Shipping,Yes,Yes,18,Debit Card,Annually,5478,2023-07-12,7,2023
3139,47,Female,Blouse,Clothing,95,Anna Nagar,L,Gray,Fall,4.6,No,Venmo,Next Day Air,No,No,40,Cash,Every 3 Months,7885,2021-10-11,10,2021
453,45,Male,Pants,Clothing,45,BB Kulam,M,Violet,Summer,3.3,Yes,Debit Card,Express,Yes,Yes,39,PayPal,Fortnightly,3735,2023-02-09,2,2023
1045,39,Male,Jeans,Clothing,30,Iyer Bungalow,L,Teal,Summer,4.4,Yes,Credit Card,Next Day Air,Yes,Yes,17,Bank Transfer,Every 3 Months,2490,2022-07-01,7,2022
732,43,Male,Coat,Outerwear,28,Meenakshi Nagar,M,Red,Spring,3.5,Yes,Credit Card,Free Shipping,Yes,Yes,30,PayPal,Fortnightly,2324,2022-01-05,1,2022
3419,53,Female,Jacket,Outerwear,30,BB Kulam,M,Beige,Summer,2.8,No,Cash,Free Shipping,No,No,35,Debit Card,Annually,2490,2021-09-01,9,2021
1361,56,Male,Skirt,Clothing,43,Palangantham,L,Black,Fall,2.8,No,Bank Transfer,Express,Yes,Yes,4,Bank Transfer,Annually,3569,2022-10-12,10,2022
2951,22,Female,Jeans,Clothing,91,Chinna Chokikulam,S,Maroon,Winter,4.1,No,Bank Transfer,2-Day Shipping,No,No,44,Debit Card,Every 3 Months,7553,2020-03-17,3,2020
2299,40,Male,Handbag,Accessories,87,Anna Nagar,L,Cyan,Spring,2.9,No,PayPal,2-Day Shipping,No,No,10,Cash,Every 3 Months,7221,2021-01-20,1,2021
3735,38,Female,Hoodie,Clothing,88,Ponmeni,M,Beige,Spring,3.4,No,Venmo,Next Day Air,No,No,33,Debit Card,Every 3 Months,7304,2021-01-27,1,2021
651,34,Male,Gloves,Accessories,40,Iyer Bungalow,M,Magenta,Spring,3.9,Yes,Venmo,Next Day Air,Yes,Yes,12,Bank Transfer,Annually,3320,2022-07-07,7,2022
164,54,Male,Skirt,Clothing,67,KK Nagar,M,Purple,Summer,3.4,Yes,PayPal,Standard,Yes,Yes,8,Debit Card,Weekly,5561,2020-01-16,1,2020
2599,64,Male,Backpack,Accessories,86,KK Nagar,XL,Olive,Fall,3.3,No,Credit Card,Express,No,No,31,Debit Card,Annually,7138,2020-05-11,5,2020
1514,22,Male,Socks,Clothing,35,KK Nagar,M,Red,Spring,4.1,No,PayPal,Free Shipping,Yes,Yes,27,Cash,Monthly,2905,2024-08-21,8,2024
1805,30,Male,Sweater,Clothing,42,Palangantham,L,Peach,Winter,4.4,No,Debit Card,Next Day Air,No,No,39,Credit Card,Weekly,3486,2023-04-01,4,2023
3511,49,Female,Sneakers,Footwear,96,Chinna Chokikulam,S,Orange,Fall,4.9,No,Credit Card,2-Day Shipping,No,No,14,Venmo,Monthly,7968,2024-08-17,8,2024
652,32,Male,Hat,Accessories,32,Palangantham,L,Yellow,Summer,2.9,Yes,PayPal,Next Day Air,Yes,Yes,41,Venmo,Fortnightly,2656,2024-05-04,5,2024
2843,28,Female,Coat,Outerwear,100,Ponmeni,L,Green,Fall,4.3,No,Cash,Standard,No,No,48,Debit Card,Quarterly,8300,2023-12-31,12,2023
3658,58,Female,Shoes,Footwear,82,CS Nagar,L,Gold,Winter,3.7,No,Bank Transfer,Express,No,No,1,Debit Card,Every 3 Months,6806,2020-12-17,12,2020
2380,40,Male,Hat,Accessories,77,Iyer Bungalow,M,Peach,Spring,4.0,No,Credit Card,2-Day Shipping,No,No,22,Debit Card,Monthly,6391,2023-07-23,7,2023
600,51,Male,Boots,Footwear,26,KK Nagar,L,Teal,Spring,4.2,Yes,Cash,Standard,Yes,Yes,27,Debit Card,Every 3 Months,2158,2020-03-14,3,2020
2780,61,Female,Sunglasses,Accessories,66,Palangantham,L,Blue,Winter,4.3,No,Bank Transfer,Express,No,No,14,Credit Card,Fortnightly,5478,2024-12-05,12,2024
1461,70,Male,Boots,Footwear,85,Chinna Chokikulam,L,Violet,Fall,4.6,No,Venmo,Standard,Yes,Yes,33,Venmo,Bi-Weekly,7055,2022-03-04,3,2022
2551,53,Male,Boots,Footwear,52,Ponmeni,XL,Peach,Fall,3.0,No,Credit Card,Store Pickup,No,No,30,Debit Card,Fortnightly,4316,2021-01-27,1,2021
3499,47,Female,Sandals,Footwear,35,Anna Nagar,M,Lavender,Summer,3.8,No,PayPal,Standard,No,No,2,Bank Transfer,Bi-Weekly,2905,2023-12-02,12,2023
908,32,Male,Sweater,Clothing,43,CS Nagar,L,Cyan,Winter,4.4,Yes,PayPal,Express,Yes,Yes,34,Credit Card,Bi-Weekly,3569,2023-06-11,6,2023
549,36,Male,Backpack,Accessories,64,Meenakshi Nagar,M,Black,Winter,4.6,Yes,PayPal,Store Pickup,Yes,Yes,41,Debit Card,Every 3 Months,5312,2022-10-19,10,2022
749,35,Male,Hat,Accessories,39,CS Nagar,L,Brown,Fall,3.9,Yes,Bank Transfer,Free Shipping,Yes,Yes,8,Bank Transfer,Quarterly,3237,2023-01-10,1,2023
1702,69,Male,Handbag,Accessories,41,CS Nagar,XL,Blue,Winter,3.8,No,PayPal,Next Day Air,No,No,44,Debit Card,Every 3 Months,3403,2020-02-24,2,2020
1810,58,Male,Backpack,Accessories,99,CS Nagar,S,Blue,Fall,3.4,No,Credit Card,Free Shipping,No,No,6,Debit Card,Fortnightly,8217,2021-12-18,12,2021
2946,32,Female,Belt,Accessories,49,BB Kulam,M,Charcoal,Summer,4.8,No,Venmo,Free Shipping,No,No,1,Credit Card,Every 3 Months,4067,2023-10-20,10,2023
706,25,Male,Pants,Clothing,90,Chinna Chokikulam,XL,Indigo,Summer,4.5,Yes,PayPal,Free Shipping,Yes,Yes,49,Cash,Quarterly,7470,2024-07-09,7,2024
975,69,Male,Skirt,Clothing,90,BB Kulam,M,Beige,Spring,3.6,Yes,Credit Card,2-Day Shipping,Yes,Yes,23,Bank Transfer,Monthly,7470,2020-04-20,4,2020
967,58,Male,Dress,Clothing,55,Meenakshi Nagar,M,Brown,Spring,4.9,Yes,Cash,Express,Yes,Yes,19,Cash,Annually,4565,2022-08-26,8,2022
140,49,Male,Coat,Outerwear,95,CS Nagar,M,White,Fall,3.8,Yes,Debit Card,Store Pickup,Yes,Yes,30,Venmo,Annually,7885,2023-03-16,3,2023
1319,52,Male,Shorts,Clothing,93,BB Kulam,M,Maroon,Spring,2.7,No,Venmo,Express,Yes,Yes,19,Credit Card,Bi-Weekly,7719,2021-05-02,5,2021
2004,68,Male,Sneakers,Footwear,72,BB Kulam,S,Blue,Spring,3.1,No,Venmo,Express,No,No,32,Cash,Quarterly,5976,2023-09-25,9,2023
3015,24,Female,T-shirt,Clothing,65,Iyer Bungalow,M,Maroon,Spring,4.5,No,Credit Card,Express,No,No,38,PayPal,Every 3 Months,5395,2023-05-02,5,2023
3288,24,Female,Skirt,Clothing,63,CS Nagar,L,Black,Spring,4.3,No,PayPal,2-Day Shipping,No,No,38,Credit Card,Weekly,5229,2022-08-29,8,2022
1160,66,Male,Handbag,Accessories,55,CS Nagar,L,Blue,Fall,3.6,No,Debit Card,2-Day Shipping,Yes,Yes,46,Venmo,Every 3 Months,4565,2024-06-06,6,2024
3519,50,Female,Shirt,Clothing,97,Ponmeni,M,Black,Spring,4.2,No,Bank Transfer,Standard,No,No,30,PayPal,Quarterly,8051,2020-11-08,11,2020
1711,19,Male,Pants,Clothing,59,Palangantham,XL,Orange,Fall,3.8,No,Debit Card,Store Pickup,No,No,7,Credit Card,Quarterly,4897,2024-09-07,9,2024
607,27,Male,Scarf,Accessories,90,Meenakshi Nagar,M,Blue,Spring,4.5,Yes,Credit Card,Standard,Yes,Yes,44,PayPal,Monthly,7470,2021-09-24,9,2021
2208,69,Male,Handbag,Accessories,38,CS Nagar,M,Gray,Fall,2.9,No,Debit Card,Next Day Air,No,No,11,Credit Card,Annually,3154,2021-11-12,11,2021
3731,46,Female,Shirt,Clothing,79,Chinna Chokikulam,M,Teal,Summer,2.5,No,Bank Transfer,2-Day Shipping,No,No,3,Credit Card,Bi-Weekly,6557,2022-11-20,11,2022
3554,62,Female,Shoes,Footwear,99,Iyer Bungalow,M,Charcoal,Spring,4.9,No,Cash,Free Shipping,No,No,32,Bank Transfer,Weekly,8217,2023-01-18,1,2023
260,32,Male,Jeans,Clothing,57,Thirumangalam,M,Gold,Fall,2.9,Yes,Credit Card,Standard,Yes,Yes,13,Debit Card,Annually,4731,2023-07-05,7,2023
764,61,Male,Sweater,Clothing,50,CS Nagar,M,Brown,Spring,2.9,Yes,Debit Card,2-Day Shipping,Yes,Yes,6,Credit Card,Monthly,4150,2020-12-07,12,2020
1702,69,Male,Handbag,Accessories,41,CS Nagar,XL,Blue,Winter,3.8,No,PayPal,Next Day Air,No,No,44,Debit Card,Every 3 Months,3403,2022-10-31,10,2022
3497,39,Female,Shoes,Footwear,38,Ponmeni,M,Pink,Summer,4.0,No,Cash,Free Shipping,No,No,22,PayPal,Monthly,3154,2022-09-01,9,2022
307,26,Male,Jacket,Outerwear,49,Meenakshi Nagar,S,White,Summer,3.6,Yes,Debit Card,Express,Yes,Yes,4,Cash,Annually,4067,2021-10-08,10,2021
3186,52,Female,Skirt,Clothing,71,Chinna Chokikulam,L,Gold,Fall,4.7,No,Credit Card,Express,No,No,6,PayPal,Annually,5893,2022-09-04,9,2022
3854,61,Female,Sunglasses,Accessories,76,Thirumangalam,M,Lavender,Fall,4.0,No,Bank Transfer,Store Pickup,No,No,49,Debit Card,Bi-Weekly,6308,2021-05-19,5,2021
3520,31,Female,Shorts,Clothing,66,Ponmeni,M,White,Winter,3.7,No,Credit Card,Next Day Air,No,No,14,Bank Transfer,Fortnightly,5478,2020-02-22,2,2020
1463,38,Male,Sneakers,Footwear,90,Ponmeni,S,Charcoal,Summer,4.8,No,Venmo,2-Day Shipping,Yes,Yes,2,Venmo,Quarterly,7470,2020-07-08,7,2020
1923,18,Male,Gloves,Accessories,63,KK Nagar,S,Peach,Summer,4.6,No,PayPal,Standard,No,No,9,PayPal,Monthly,5229,2024-09-03,9,2024
2146,38,Male,Skirt,Clothing,73,Chinna Chokikulam,S,White,Winter,4.8,No,Debit Card,Standard,No,No,32,PayPal,Annually,6059,2021-03-11,3,2021
449,32,Male,Gloves,Accessories,23,Ponmeni,M,Yellow,Summer,3.4,Yes,Credit Card,Next Day Air,Yes,Yes,35,Bank Transfer,Fortnightly,1909,2020-12-07,12,2020
777,49,Male,Shirt,Clothing,60,Meenakshi Nagar,M,Maroon,Spring,5.0,Yes,PayPal,Standard,Yes,Yes,8,Venmo,Every 3 Months,4980,2020-12-19,12,2020
1830,30,Male,Hat,Accessories,96,Iyer Bungalow,M,White,Spring,4.9,No,Venmo,2-Day Shipping,No,No,50,Credit Card,Quarterly,7968,2023-07-10,7,2023
2281,22,Male,Shoes,Footwear,21,Palangantham,M,Red,Summer,2.8,No,Bank Transfer,Standard,No,No,31,Credit Card,Fortnightly,1743,2024-05-14,5,2024
2169,23,Male,Handbag,Accessories,74,Palangantham,M,Beige,Spring,4.1,No,Bank Transfer,Next Day Air,No,No,32,Cash,Quarterly,6142,2020-05-26,5,2020
2812,69,Female,Jacket,Outerwear,89,Meenakshi Nagar,M,Blue,Fall,3.7,No,PayPal,Store Pickup,No,No,19,Credit Card,Quarterly,7387,2024-03-14,3,2024
2901,41,Female,Blouse,Clothing,67,Iyer Bungalow,XL,Violet,Winter,4.0,No,Bank Transfer,Standard,No,No,23,Cash,Bi-Weekly,5561,2022-09-08,9,2022
2004,68,Male,Sneakers,Footwear,72,BB Kulam,S,Blue,Spring,3.1,No,Venmo,Express,No,No,32,Cash,Quarterly,5976,2022-12-17,12,2022
3683,42,Female,Shirt,Clothing,60,Chinna Chokikulam,M,Maroon,Fall,4.6,No,Venmo,Store Pickup,No,No,46,Venmo,Bi-Weekly,4980,2024-05-27,5,2024
2770,32,Female,Shirt,Clothing,89,Palangantham,L,Lavender,Fall,3.0,No,PayPal,Standard,No,No,13,Cash,Weekly,7387,2021-06-28,6,2021
1502,37,Male,Jeans,Clothing,55,KK Nagar,XL,Silver,Spring,2.7,No,Bank Transfer,Standard,Yes,Yes,13,Debit Card,Every 3 Months,4565,2021-04-06,4,2021
2259,24,Male,T-shirt,Clothing,71,Chinna Chokikulam,L,Cyan,Winter,4.3,No,Bank Transfer,Store Pickup,No,No,44,Credit Card,Every 3 Months,5893,2020-04-30,4,2020
2392,42,Male,Shirt,Clothing,74,CS Nagar,M,Black,Winter,4.6,No,PayPal,Next Day Air,No,No,31,Bank Transfer,Quarterly,6142,2022-09-26,9,2022
2961,57,Female,Coat,Outerwear,48,KK Nagar,S,Olive,Spring,3.6,No,Venmo,Standard,No,No,47,Credit Card,Weekly,3984,2022-12-30,12,2022
2538,44,Male,Coat,Outerwear,49,Ponmeni,M,Purple,Summer,4.1,No,Debit Card,2-Day Shipping,No,No,30,PayPal,Fortnightly,4067,2021-04-01,4,2021
505,42,Male,Shoes,Footwear,22,CS Nagar,M,Maroon,Winter,3.9,Yes,Bank Transfer,Free Shipping,Yes,Yes,26,PayPal,Annually,1826,2023-05-27,5,2023
3699,25,Female,Skirt,Clothing,54,Meenakshi Nagar,XL,Maroon,Spring,4.0,No,Credit Card,2-Day Shipping,No,No,4,Venmo,Annually,4482,2020-03-01,3,2020
3257,60,Female,Sunglasses,Accessories,26,Meenakshi Nagar,L,Teal,Winter,4.7,No,Cash,Free Shipping,No,No,50,Venmo,Every 3 Months,2158,2022-07-19,7,2022
2557,24,Male,T-shirt,Clothing,88,Iyer Bungalow,XL,Magenta,Fall,3.1,No,PayPal,Standard,No,No,4,Bank Transfer,Quarterly,7304,2023-02-06,2,2023
2354,56,Male,Handbag,Accessories,71,Thirumangalam,M,White,Fall,4.1,No,Credit Card,Standard,No,No,25,Debit Card,Every 3 Months,5893,2021-12-30,12,2021
3072,23,Female,Sweater,Clothing,41,KK Nagar,L,Turquoise,Spring,3.4,No,Debit Card,Next Day Air,No,No,6,PayPal,Monthly,3403,2024-12-30,12,2024
3755,46,Female,Shoes,Footwear,41,Ponmeni,M,Turquoise,Summer,4.4,No,PayPal,Express,No,No,10,Cash,Every 3 Months,3403,2023-08-17,8,2023
2233,65,Male,Shoes,Footwear,64,Meenakshi Nagar,L,Lavender,Spring,4.0,No,Bank Transfer,Store Pickup,No,No,14,Cash,Fortnightly,5312,2021-06-27,6,2021
3708,35,Female,Gloves,Accessories,79,Meenakshi Nagar,M,Gold,Fall,3.4,No,Bank Transfer,2-Day Shipping,No,No,19,Venmo,Weekly,6557,2024-11-11,11,2024
741,26,Male,Jeans,Clothing,69,Meenakshi Nagar,M,Orange,Summer,2.8,Yes,Bank Transfer,Next Day Air,Yes,Yes,22,Credit Card,Fortnightly,5727,2022-10-07,10,2022
3408,46,Female,Dress,Clothing,46,Anna Nagar,S,Purple,Spring,2.6,No,Bank Transfer,Store Pickup,No,No,20,Cash,Quarterly,3818,2020-08-01,8,2020
2968,34,Female,Sneakers,Footwear,36,KK Nagar,L,Silver,Summer,3.4,No,Cash,Free Shipping,No,No,40,Venmo,Annually,2988,2023-04-20,4,2023
3206,40,Female,Hoodie,Clothing,24,KK Nagar,XL,Magenta,Fall,4.4,No,Debit Card,2-Day Shipping,No,No,50,Bank Transfer,Every 3 Months,1992,2024-07-28,7,2024
1291,67,Male,Skirt,Clothing,35,Chinna Chokikulam,M,Indigo,Spring,3.4,No,Cash,Free Shipping,Yes,Yes,3,PayPal,Annually,2905,2023-01-18,1,2023
177,53,Male,Backpack,Accessories,81,BB Kulam,L,Black,Spring,2.7,Yes,Bank Transfer,Next Day Air,Yes,Yes,30,Credit Card,Quarterly,6723,2024-01-26,1,2024
1227,53,Male,Sandals,Footwear,91,Ponmeni,S,Cyan,Fall,3.4,No,PayPal,Store Pickup,Yes,Yes,18,Venmo,Bi-Weekly,7553,2020-12-12,12,2020
1965,40,Male,Pants,Clothing,51,Ponmeni,S,Cyan,Summer,4.6,No,PayPal,Express,No,No,50,Debit Card,Monthly,4233,2024-02-29,2,2024
1607,55,Male,T-shirt,Clothing,21,BB Kulam,S,White,Spring,4.3,No,Debit Card,Standard,Yes,Yes,4,PayPal,Fortnightly,1743,2020-06-27,6,2020
1641,65,Male,Scarf,Accessories,51,KK Nagar,S,Magenta,Spring,4.0,No,Debit Card,2-Day Shipping,Yes,Yes,13,PayPal,Weekly,4233,2020-10-13,10,2020
941,48,Male,Belt,Accessories,44,Palangantham,S,Maroon,Spring,2.6,Yes,PayPal,Store Pickup,Yes,Yes,15,PayPal,Every 3 Months,3652,2021-04-09,4,2021
104,54,Male,Boots,Footwear,89,Meenakshi Nagar,L,Red,Winter,4.0,Yes,Debit Card,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,7387,2022-11-23,11,2022
1876,63,Male,Boots,Footwear,71,CS Nagar,M,Brown,Winter,3.9,No,Debit Card,Next Day Air,No,No,6,Credit Card,Quarterly,5893,2022-04-18,4,2022
344,27,Male,Sandals,Footwear,39,Ponmeni,M,Purple,Summer,4.4,Yes,Cash,Next Day Air,Yes,Yes,26,Venmo,Monthly,3237,2024-01-05,1,2024
2045,49,Male,Jeans,Clothing,68,Chinna Chokikulam,L,Orange,Spring,3.0,No,Cash,Free Shipping,No,No,17,PayPal,Fortnightly,5644,2020-01-29,1,2020
264,27,Male,Shorts,Clothing,46,Palangantham,M,Purple,Summer,4.3,Yes,Credit Card,Store Pickup,Yes,Yes,29,Venmo,Monthly,3818,2023-05-10,5,2023
1174,44,Male,Jewelry,Accessories,76,CS Nagar,M,Indigo,Winter,2.5,No,Credit Card,Express,Yes,Yes,42,Cash,Bi-Weekly,6308,2024-04-11,4,2024
3478,53,Female,Handbag,Accessories,85,BB Kulam,S,Teal,Spring,3.8,No,PayPal,Store Pickup,No,No,38,Debit Card,Bi-Weekly,7055,2024-08-06,8,2024
2614,58,Male,Gloves,Accessories,88,BB Kulam,M,Gold,Fall,2.9,No,Cash,Express,No,No,14,Bank Transfer,Monthly,7304,2023-10-07,10,2023
3762,60,Female,Backpack,Accessories,30,Iyer Bungalow,M,Green,Summer,2.8,No,Venmo,Next Day Air,No,No,3,Venmo,Every 3 Months,2490,2024-01-01,1,2024
1600,48,Male,Shirt,Clothing,54,BB Kulam,M,Orange,Winter,2.8,No,Venmo,2-Day Shipping,Yes,Yes,22,Debit Card,Bi-Weekly,4482,2023-03-17,3,2023
2531,25,Male,Skirt,Clothing,98,CS Nagar,S,Cyan,Spring,3.6,No,Debit Card,Free Shipping,No,No,28,Debit Card,Weekly,8134,2020-06-08,6,2020
1858,51,Male,T-shirt,Clothing,85,Chinna Chokikulam,L,Maroon,Summer,4.0,No,Cash,Next Day Air,No,No,33,Cash,Monthly,7055,2020-09-22,9,2020
1192,34,Male,T-shirt,Clothing,70,Meenakshi Nagar,L,Charcoal,Winter,4.1,No,Debit Card,Free Shipping,Yes,Yes,50,Venmo,Quarterly,5810,2024-05-08,5,2024
869,40,Male,Dress,Clothing,83,KK Nagar,M,Green,Summer,3.2,Yes,Credit Card,Next Day Air,Yes,Yes,2,Credit Card,Every 3 Months,6889,2024-04-21,4,2024
3151,55,Female,Blouse,Clothing,25,Thirumangalam,M,Peach,Spring,2.6,No,Venmo,Express,No,No,7,Bank Transfer,Bi-Weekly,2075,2021-10-18,10,2021
79,50,Male,Skirt,Clothing,91,Ponmeni,M,Maroon,Spring,4.7,Yes,Venmo,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,7553,2023-11-11,11,2023
603,37,Male,Shoes,Footwear,58,Anna Nagar,L,Lavender,Summer,4.2,Yes,Venmo,Next Day Air,Yes,Yes,10,Cash,Every 3 Months,4814,2020-05-08,5,2020
2404,64,Male,Shorts,Clothing,22,Palangantham,M,Magenta,Fall,4.4,No,Bank Transfer,Standard,No,No,40,Debit Card,Weekly,1826,2024-10-13,10,2024
2358,53,Male,Shirt,Clothing,67,Iyer Bungalow,L,Cyan,Fall,4.2,No,Bank Transfer,2-Day Shipping,No,No,40,Credit Card,Bi-Weekly,5561,2022-07-29,7,2022
56,40,Male,Jacket,Outerwear,28,Chinna Chokikulam,M,Lavender,Winter,3.0,Yes,Venmo,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,2324,2023-08-01,8,2023
93,61,Male,Jacket,Outerwear,87,CS Nagar,M,Olive,Winter,4.4,Yes,Cash,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,7221,2024-01-14,1,2024
529,34,Male,Sneakers,Footwear,88,Anna Nagar,S,Beige,Winter,3.2,Yes,Venmo,Express,Yes,Yes,40,Cash,Annually,7304,2020-03-12,3,2020
1442,34,Male,Pants,Clothing,25,Thirumangalam,S,Turquoise,Summer,3.4,No,Debit Card,Free Shipping,Yes,Yes,3,Venmo,Every 3 Months,2075,2024-03-09,3,2024
1383,68,Male,Jacket,Outerwear,55,Thirumangalam,L,Brown,Winter,4.8,No,Venmo,Express,Yes,Yes,16,Bank Transfer,Quarterly,4565,2024-07-25,7,2024
3285,70,Female,Scarf,Accessories,79,BB Kulam,L,White,Spring,4.5,No,Debit Card,2-Day Shipping,No,No,20,Venmo,Annually,6557,2021-12-23,12,2021
1387,68,Male,Jacket,Outerwear,56,Meenakshi Nagar,M,Silver,Fall,4.0,No,Bank Transfer,Next Day Air,Yes,Yes,4,Debit Card,Quarterly,4648,2023-09-07,9,2023
64,33,Male,Sunglasses,Accessories,79,Meenakshi Nagar,L,Lavender,Winter,2.7,Yes,Credit Card,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,6557,2020-11-17,11,2020
3439,26,Female,Shirt,Clothing,71,Thirumangalam,M,Violet,Fall,3.0,No,Debit Card,Store Pickup,No,No,33,Credit Card,Monthly,5893,2021-09-30,9,2021
3127,57,Female,Sunglasses,Accessories,76,Anna Nagar,L,Lavender,Winter,2.6,No,PayPal,Store Pickup,No,No,28,Bank Transfer,Bi-Weekly,6308,2021-12-05,12,2021
514,22,Male,Scarf,Accessories,65,Ponmeni,M,Peach,Fall,3.6,Yes,PayPal,Store Pickup,Yes,Yes,45,Venmo,Annually,5395,2024-12-28,12,2024
3707,26,Female,Sandals,Footwear,55,CS Nagar,M,Green,Spring,4.0,No,Credit Card,Store Pickup,No,No,17,Cash,Bi-Weekly,4565,2020-07-01,7,2020
2914,43,Female,Coat,Outerwear,83,Chinna Chokikulam,L,Cyan,Winter,3.5,No,Debit Card,Express,No,No,12,Cash,Every 3 Months,6889,2020-05-28,5,2020
2744,61,Female,Belt,Accessories,94,Chinna Chokikulam,S,Beige,Fall,4.1,No,Debit Card,2-Day Shipping,No,No,17,Venmo,Quarterly,7802,2022-01-21,1,2022
1403,62,Male,Sunglasses,Accessories,21,KK Nagar,L,White,Summer,3.1,No,Bank Transfer,Express,Yes,Yes,47,PayPal,Monthly,1743,2021-10-19,10,2021
3139,47,Female,Blouse,Clothing,95,Anna Nagar,L,Gray,Fall,4.6,No,Venmo,Next Day Air,No,No,40,Cash,Every 3 Months,7885,2021-04-22,4,2021
751,25,Male,T-shirt,Clothing,95,Thirumangalam,L,Violet,Fall,3.4,Yes,Bank Transfer,Free Shipping,Yes,Yes,5,Venmo,Annually,7885,2023-12-01,12,2023
494,28,Male,Backpack,Accessories,48,Palangantham,XL,Red,Summer,4.7,Yes,Debit Card,Store Pickup,Yes,Yes,19,Cash,Bi-Weekly,3984,2021-12-15,12,2021
1693,56,Male,Handbag,Accessories,75,BB Kulam,M,Beige,Winter,2.6,No,Debit Card,Standard,No,No,33,Cash,Bi-Weekly,6225,2022-05-17,5,2022
2071,56,Male,Jewelry,Accessories,88,Ponmeni,XL,Red,Spring,3.1,No,Cash,Express,No,No,14,Cash,Monthly,7304,2021-12-08,12,2021
3212,53,Female,Pants,Clothing,65,Iyer Bungalow,L,Turquoise,Winter,4.9,No,Credit Card,Standard,No,No,12,Cash,Monthly,5395,2024-03-22,3,2024
